"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
"1",5.1,3.5,1.4,0.2,"setosa"
"2",5.4,3.9,1.7,0.4,"setosa"
"3",5.4,3.7,1.5,0.2,"setosa"
"4",5.8,4,1.2,0.2,"setosa"
"5",5.7,4.4,1.5,0.4,"setosa"
"6",5.4,3.9,1.3,0.4,"setosa"
"7",5.1,3.5,1.4,0.3,"setosa"
"8",5.7,3.8,1.7,0.3,"setosa"
"9",5.1,3.8,1.5,0.3,"setosa"
"10",5.4,3.4,1.7,0.2,"setosa"
"11",5.1,3.7,1.5,0.4,"setosa"
"12",5.1,3.3,1.7,0.5,"setosa"
"13",5.2,3.5,1.5,0.2,"setosa"
"14",5.2,3.4,1.4,0.2,"setosa"
"15",5.4,3.4,1.5,0.4,"setosa"
"16",5.2,4.1,1.5,0.1,"setosa"
"17",5.5,4.2,1.4,0.2,"setosa"
"18",5.5,3.5,1.3,0.2,"setosa"
"19",5.1,3.4,1.5,0.2,"setosa"
"20",5.1,3.8,1.9,0.4,"setosa"
"21",5.1,3.8,1.6,0.2,"setosa"
"22",5.3,3.7,1.5,0.2,"setosa"
